tier,journal_name,issn_print,issn_online
top5,American Economic Review,0002-8282,1944-7981
top5,Quarterly Journal of Economics,0033-5533,1531-4650
top5,Journal of Political Economy,0022-3808,1537-534X
top5,Econometrica,0012-9682,1468-0262
top5,Review of Economic Studies,0034-6527,1467-937X
tier1,Experimental Economics,1386-4157,1573-6938
tier1,Journal of Economic Behavior & Organization,0167-2681,1879-1751
tier1,Games and Economic Behavior,0899-8256,1090-2473
tier1,Journal of Risk and Uncertainty,0895-5646,1573-0476
tier1,Journal of Behavioral and Experimental Economics,2214-8043,2214-8051
tier1,American Economic Journal: Microeconomics,1945-7669,1945-7685
tier2,Journal of Finance,0022-1082,1540-6261
tier2,Journal of Financial Economics,0304-405X,1879-2774
tier2,Review of Financial Studies,0893-9454,1465-7368
tier2,Journal of Monetary Economics,0304-3932,1873-1295
tier2,American Economic Journal: Macroeconomics,1945-7707,1945-7715
tier3,Journal of Public Economics,0047-2727,1879-2316
tier3,Journal of Development Economics,0304-3878,1872-6135
tier3,American Economic Journal: Applied Economics,1945-7782,1945-7790
tier3,Journal of Health Economics,0167-6296,1879-1646
tier4,Management Science,0025-1909,1526-5501
tier4,Organizational Behavior and Human Decision Processes,0749-5978,1095-9920
tier4,Marketing Science,0732-2399,1526-548X
tier5,RAND Journal of Economics,0741-6261,1756-2171
tier5,Journal of Economic Theory,0022-0531,1095-7235
tier5,Economic Journal,0013-0133,1468-0297
tier5,Review of Economics and Statistics,0034-6535,1530-9142
