tier,journal,container_title,year,title,authors,doi,abstract,is_oa,oa_pdf_url,landing_url,pdf_path
top5,American Economic Review,American Economic Review,2020,Overreaction in Macroeconomic Expectations,Pedro Bordalo; Nicola Gennaioli; Yueran Ma; Andrei Shleifer,10.1257/aer.20181219,"We study the rationality of individual and consensus forecasts of macroeconomic and financial variables using the methodology of Coibion and Gorodnichenko (2015), who examine predictability of forecast errors from forecast revisions. We find that individual forecasters typically overreact to news, while consensus forecasts under-react relative to full-information rational expectations. We reconcile these findings within a diagnostic expectations version of a dispersed information learning model. Structural estimation indicates that departures from Bayesian updating in the form of diagnostic overreaction capture important variation in forecast biases across different series, yielding a belief distortion parameter similar to estimates obtained in other settings. (JEL C53, D83, D84, E13, E17, E27, E47)",0,,https://doi.org/10.1257/aer.20181219,
top5,American Economic Review,American Economic Review,2019,Beliefs about Gender,Pedro Bordalo; Katherine Coffman; Nicola Gennaioli; Andrei Shleifer,10.1257/aer.20170007,"We conduct laboratory experiments that explore how gender stereotypes shape beliefs about ability of oneself and others in different categories of knowledge. The data reveal two patterns. First, men’s and women’s beliefs about both oneself and others exceed observed ability on average, particularly in difficult tasks. Second, overestimation of ability by both men and women varies across categories. To understand these patterns, we develop a model that separates gender stereotypes from misestimation of ability related to the difficulty of the task. We find that stereotypes contribute to gender gaps in self-confidence, assessments of others, and behavior in a cooperative game. (JEL C92, D83, D91, J16)",1,https://www.aeaweb.org/articles/pdf/doi/10.1257/aer.20170007,https://www.aeaweb.org/articles/pdf/doi/10.1257/aer.20170007,
top5,American Economic Review,American Economic Review,2019,The Dynamics of Discrimination: Theory and Evidence,J. Aislinn Bohren; Alex Imas; Michael Rosenberg,10.1257/aer.20171829,"We model the dynamics of discrimination and show how its evolution can identify the underlying source. We test these theoretical predictions in a field experiment on a large online platform where users post content that is evaluated by other users on the platform. We assign posts to accounts that exogenously vary by gender and evaluation histories. With no prior evaluations, women face significant discrimination. However, following a sequence of positive evaluations, the direction of discrimination reverses: women’s posts are favored over men’s. Interpreting these results through the lens of our model, this dynamic reversal implies discrimination driven by biased beliefs. (JEL C93, D83, J16, J71)",1,https://economics.sas.upenn.edu/sites/default/files/filevault/SSRN%2017_021.pdf,https://economics.sas.upenn.edu/sites/default/files/filevault/SSRN%2017_021.pdf,pdfs/2019_American Economic Review_The Dynamics of Discrimination_ Theory and Evidence_10.1257_aer.20171829.pdf
top5,American Economic Review,American Economic Review,2020,The Dynamics of Motivated Beliefs,Florian Zimmermann,10.1257/aer.20180728,"A key question in the literature on motivated reasoning and self-deception is how motivated beliefs are sustained in the presence of feedback. In this paper, we explore dynamic motivated belief patterns after feedback. We establish that positive feedback has a persistent effect on beliefs. Negative feedback, instead, influences beliefs in the short run, but this effect fades over time. We investigate the mechanisms of this dynamic pattern, and provide evidence for an asymmetry in the recall of feedback. Finally, we establish that, in line with theoretical accounts, incentives for belief accuracy mitigate the role of motivated reasoning. (JEL C91, D83, D91)",0,,https://doi.org/10.1257/aer.20180728,
top5,American Economic Review,American Economic Review,2021,Asymmetric Attention,Alexandre Kohlhas; Ansgar Walther,10.1257/aer.20191432,"We document that the expectations of households, firms, and professional forecasters in standard surveys simultaneously extrapolate from recent events and underreact to new information. Existing models of expectation formation, whether behavioral or rational, cannot account for these observations. We develop a rational theory of extrapolation based on limited attention, which is consistent with this evidence. In particular, we show that limited, asymmetric attention to procyclical variables can explain the coexistence of extrapolation and underreactions. We illustrate these mechanisms in a microfounded macroeconomic model, which generates expectations consistent with the survey data, and show that asymmetric attention increases business cycle fluctuations. (JEL C53, D83, D84, E23, E27, E32)",1,http://hdl.handle.net/10044/1/89589,http://hdl.handle.net/10044/1/89589,
top5,American Economic Review,American Economic Review,2022,Persistent Overconfidence and Biased Memory: Evidence from Managers,David Huffman; Collin Raymond; Julia Shvets,10.1257/aer.20190668,"A long-standing puzzle is how overconfidence can persist in settings characterized by repeated feedback. This paper studies managers who participate repeatedly in a high-powered tournament incentive system, learning relative performance each time. Using reduced form and structural methods we find that (i) managers make over-confident predictions about future performance; (ii) managers have overly positive memories of past performance; (iii) the two phenomena are linked at an individual level. Our results are consistent with models of motivated beliefs in which individuals are motivated to distort memories of feedback and preserve unrealistic expectations. (JEL D82, D83, J33, L25, L81, M52, M54)",0,,https://doi.org/10.1257/aer.20190668,
top5,American Economic Review,American Economic Review,2018,Investment Strategy and Selection Bias: An Equilibrium Perspective on Overoptimism,Philippe Jéhiel,10.1257/aer.20161696,"Investors implement projects based on idiosyncratic signal observations, without knowing how signals and returns are jointly distributed. The following heuristic is studied: investors collect information on previously implemented projects with the same signal realization, and invest if the associated mean return exceeds the cost. The corresponding steady states result in suboptimal investments, due to selection bias and the heterogeneity of signals across investors. When higher signals are associated with higher returns, investors are overoptimistic, resulting in overinvestment. Rational investors increase the overoptimism of sampling investors, thereby illustrating a negative externality imposed by rational investors. (JEL D82, G11, G31, L26, M13)",1,,https://shs.hal.science/halshs-01884380,
top5,American Economic Review,American Economic Review,2021,The Role of Behavioral Frictions in Health Insurance Marketplace Enrollment and Risk: Evidence from a Field Experiment,Richard Domurat; Isaac Menashe; Wesley Yin,10.1257/aer.20190823,"We experimentally varied information mailed to 87,000 households in California’s health insurance marketplace to study the role of frictions in insurance take-up. Reminders about the enrollment deadline raised enrollment by 1.3 pp (16 percent) in this typically low take-up population. Heterogeneous effects of personalized subsidy information indicate misperceptions about program benefits. Consistent with an adverse selection model with frictional enrollment costs, the intervention lowered average spending risk by 5.1 percent, implying that marginal respondents were 37 percent less costly than inframarginal consumers. We observe the largest positive selection among low income consumers, who exhibit the largest frictions in enrollment. Finally, we estimate the implied value of the letter intervention to be $25 to $53 per month in subsidy dollars. These results suggest that frictions may partially explain low take-up for marketplace insurance, and that interventions reducing them can improve enrollment and market risk in exchanges. (JEL C93, G22, G52, H75, I13)",0,,https://doi.org/10.1257/aer.20190823,
top5,American Economic Review,American Economic Review,2023,<i>The Birth of a Nation:</i>Media and Racial Hate,Desmond Ang,10.1257/aer.20201867,"This paper documents the impact of popular media on racial hate by examining the first American blockbuster: 1915’s The Birth of a Nation, a fictional portrayal of the KKK’s founding rife with racist stereotypes. Exploiting the film’s five-year “road show,” I find a sharp spike in lynchings and race riots coinciding with its arrival in a county. Instrumenting for road show destinations using the location of theaters prior to the movie’s release, I show that the film significantly increased local Klan support in the 1920s. Road show counties continue to experience higher rates of hate crimes and hate groups a century later. (JEL J15, K42, L82, N31, N32, N41, Z13)",0,,https://doi.org/10.1257/aer.20201867,
top5,American Economic Review,American Economic Review,2024,Revealing Stereotypes: Evidence from Immigrants in Schools,Alberto Alesina; Michela Carlana; Eliana La Ferrara; Paolo Pinotti,10.1257/aer.20191184,"We study how people change their behavior after being made aware of bias. Teachers in Italian schools give lower grades to immigrant students relative to natives of comparable ability. In two experiments, we reveal to teachers their own stereotypes, measured by an Implicit Association Test (IAT). In the first, we find that learning one’s IAT before assigning grades reduces the native-immigrant grade gap. In the second, IAT disclosure and generic debiasing have similar average effects, but there is heterogeneity: teachers with stronger negative stereotypes do not respond to generic debiasing but change their behavior when informed about their own IAT. (JEL D91, I24, J15, J45)",0,,https://doi.org/10.1257/aer.20191184,
